region,row,parent_asset_tag,accessory_asset_tag,keyword,status,property_number,careof_named,raw_segment
R-V,123,AST-001861,AST-001862,UPS,Unserviceable,,,UPS UNSERVICEABLE
R-V,126,AST-001865,AST-001866,PRINTER,Unserviceable,,,PRINTER UNSERVICEABLE
R-V,170,AST-001907,AST-001908,UPS,Unserviceable,,,"UPS - UNSERVICEABLE, PRINTER - FOR REPAIR"
R-V,170,AST-001907,AST-001909,PRINTER,Unserviceable,,,"UPS - UNSERVICEABLE, PRINTER - FOR REPAIR"
R-V,173,AST-001912,AST-001913,PRINTER,Unserviceable,,,PRINTER - UNSERVICEABLE
R-V,177,AST-001917,AST-001918,PRINTER,Unserviceable,,,PRINTER - FOR REPAIR
R-V,181,AST-001922,AST-001923,PRINTER,Unserviceable,,,PRINTER - UNSERVICEABLE
R-V,182,AST-001924,AST-001925,PRINTER,Unserviceable,,,PRINTER - UNSERVICEABLE
R-VII,13,AST-002290,AST-002291,UPS,Unverified,,,UPS and Printer unserviceable
R-VII,13,AST-002290,AST-002292,PRINTER,Unserviceable,,,UPS and Printer unserviceable
R-VII,22,AST-002298,AST-002299,PRINTER,Unserviceable,,,Printer Unserviceable
R-VII,23,AST-002300,AST-002301,PRINTER,Unserviceable,,,Printer Unserviceable
R-VIII,52,AST-002416,AST-002417,PRINTER,Unserviceable,,,printer unserviceable
R-VIII,55,AST-002420,AST-002421,PRINTER,Unserviceable,,,printer unserviceable
R-VIII,65,AST-002431,AST-002432,MONITOR,Unserviceable,,,Monitor for repair
R-VIII,66,AST-002433,AST-002434,PRINTER,Unserviceable,,,printer unserviceable
R-VIII,70,AST-002438,AST-002439,PRINTER,Unserviceable,,,printer unserviceable
R-VIII,71,AST-002440,AST-002441,PRINTER,Unserviceable,,,printer unserviceable
R-VIII,75,AST-002445,AST-002446,PRINTER,Unserviceable,,,printer unserviceable
R-VIII,104,AST-002473,AST-002474,MONITOR,Unserviceable,,,Monitor for repair
R-VIII,149,AST-002513,AST-002514,PRINTER,Unserviceable,,,printer unserviceable
R-VIII,150,AST-002515,AST-002516,PRINTER,Unserviceable,,,printer unserviceable
R-VIII,154,AST-002520,AST-002521,PRINTER,Unserviceable,,,printer unserviceable
R-VIII,162,AST-002529,AST-002530,PRINTER,Unserviceable,,,printer unserviceable
R-IX,5,AST-002595,AST-002596,UPS,Unserviceable,,,ups defective
R-IX,6,AST-002597,AST-002598,UPS,Unserviceable,,,ups defective
R-IX,14,AST-002606,AST-002607,PRINTER,Unserviceable,,,printer defective
R-IX,17,AST-002610,AST-002611,PRINTER,Unverified,,RARAD Pagadian,printer C/O RARAD Pagadian
R-IX,35,AST-002626,AST-002627,MONITOR,Unserviceable,,,MONITOR DEFECTIVE / POWER SUPPLY ISSUE
R-IX,38,AST-002630,AST-002631,MONITOR,Unserviceable,,,MONITOR DEFECTIVE
R-IX,40,AST-002633,AST-002634,PRINTER,Unverified,,,UNSERVICEABLE PRINTER
R-IX,41,AST-002635,AST-002636,PRINTER,Unverified,,,UNSERVICEABLE PRINTER
R-IX,43,AST-002638,AST-002639,UPS,Unserviceable,,,"UPS UNSERVICEABLE UPS, MONITOR C/o Daniel Tauy (STOD)"
R-IX,43,AST-002638,AST-002640,MONITOR,Unverified,,Daniel Tauy,"UPS UNSERVICEABLE UPS, MONITOR C/o Daniel Tauy (STOD)"
R-IX,69,AST-002663,AST-002664,UPS,Unverified,,,UNSERVICEABLE UPS
R-IX,70,AST-002665,AST-002666,UPS,Unverified,,,UNSERVICEABLE UPS
R-IX,72,AST-002668,AST-002669,PRINTER,Unserviceable,,,PRINTER UNSERVICEABLE
R-IX,74,AST-002671,AST-002672,UPS,Unserviceable,,,UPS UNSERVICEABLE
R-IX,75,AST-002673,AST-002674,UPS,Unserviceable,,,UPS UNSERVICEABLE
R-IX,78,AST-002677,AST-002678,UPS,Unserviceable,,,UPS UNSERVICEABLE
R-IX,81,AST-002681,AST-002682,PRINTER,Unverified,,,FOR REPAIR PRINTER
R-IX,84,AST-002685,AST-002686,PRINTER,Unserviceable,,,PRINTER UNSERVICEABLE
R-IX,86,AST-002688,AST-002689,PRINTER,Unverified,,,UNSERVICEABLE PRINTER
R-IX,87,AST-002690,AST-002691,PRINTER,Unverified,,,UNSERVICEABLE PRINTER
R-IX,88,AST-002692,AST-002693,PRINTER,Unverified,,,UNSERVICEABLE PRINTER
R-IX,100,AST-002702,AST-002703,PRINTER,Unverified,,,Printer DARMO
R-IX,101,AST-002704,AST-002705,MONITOR,Unverified,,,(Monitor 1451( (Ups1450)
R-IX,101,AST-002704,AST-002706,UPS,Unverified,,,(Monitor 1451( (Ups1450)
R-IX,102,AST-002707,AST-002708,PRINTER,Unverified,,,"CPU 1443, Printer 1451, UPS 1441"
R-IX,102,AST-002707,AST-002709,UPS,Unverified,,,"CPU 1443, Printer 1451, UPS 1441"
R-IX,105,AST-002712,AST-002713,MONITOR,Unserviceable,,,Monitor unserviceable
R-IX,106,AST-002714,AST-002715,UPS,Unverified,,,UPS 1443
R-IX,107,AST-002716,AST-002717,UPS,Unverified,,,"CPU 1440, UPS 1440, PRINTER DARMO"
R-IX,107,AST-002716,AST-002718,PRINTER,Unverified,,,"CPU 1440, UPS 1440, PRINTER DARMO"
R-IX,110,AST-002721,AST-002722,PRINTER,Unverified,,,"Printer 1449, CPU 1438, UPS 1439"
R-IX,110,AST-002721,AST-002723,UPS,Unverified,,,"Printer 1449, CPU 1438, UPS 1439"
R-IX,111,AST-002724,AST-002725,UPS,Unserviceable,,,UPS Unserviceable
R-IX,112,AST-002726,AST-002727,MONITOR,Unverified,,,"Monitor 1438, UPS 1449"
R-IX,112,AST-002726,AST-002728,UPS,Unverified,,,"Monitor 1438, UPS 1449"
R-IX,114,AST-002730,AST-002731,PRINTER,Unverified,,,Printer 1441
R-IX,115,AST-002732,AST-002733,PRINTER,Unverified,,,Printer 1439
R-IX,117,AST-002735,AST-002736,PRINTER,Unverified,,,Unserviceable Printer
R-XII,85,AST-003181,AST-003182,PRINTER,Unserviceable,,,printer unserviceable
R-XII,87,AST-003184,AST-003185,PRINTER,Unserviceable,,,printer unserviceable
CARAGA,34,AST-003299,AST-003300,UPS,Unserviceable,,,UPS Unserviceable
CARAGA,36,AST-003302,AST-003303,UPS,Unserviceable,,,UPS Unserviceable
CARAGA,38,AST-003305,AST-003306,PRINTER,Unserviceable,,,Printer unserviceable
CARAGA,43,AST-003311,AST-003312,PRINTER,Unserviceable,,,Printer unserviceable
CARAGA,47,AST-003316,AST-003317,PRINTER,Unserviceable,,,Printer unserviceable
CARAGA,48,AST-003318,AST-003319,PRINTER,Unserviceable,,,Printer unserviceable
CARAGA,121,AST-003392,AST-003393,UPS,Unserviceable,,,UPS is unserviceable
CARAGA,123,AST-003395,AST-003396,PRINTER,Unserviceable,,,Printer is unserviceable
CARAGA,128,AST-003401,AST-003402,UPS,Unserviceable,,,UPS is unserviceable
CARAGA,129,AST-003403,AST-003404,UPS,Unverified,,,UPS & Printer are unserviceable
CARAGA,129,AST-003403,AST-003405,PRINTER,Unserviceable,,,UPS & Printer are unserviceable
CARAGA,130,AST-003406,AST-003407,UPS,Unserviceable,,,CPU & UPS are unserviceable
CARAGA,131,AST-003408,AST-003409,UPS,Unserviceable,,,UPS is unserviceable
CARAGA,135,AST-003413,AST-003414,PRINTER,Unserviceable,,,Printer is unserviceable
CARAGA,137,AST-003416,AST-003417,PRINTER,Unserviceable,,,Printer is unserviceable
