category,region,row,reference_type,reference_id,field,original_value,applied_value,note
UNRESOLVED_OWNER,DARCO,246,ASSET,AST-000200,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,260,ASSET,AST-000214,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,261,ASSET,AST-000215,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,262,ASSET,AST-000216,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,263,ASSET,AST-000217,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,264,ASSET,AST-000218,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,265,ASSET,AST-000219,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,266,ASSET,AST-000220,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,267,ASSET,AST-000221,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,268,ASSET,AST-000222,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,269,ASSET,AST-000223,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,294,ASSET,AST-000248,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,295,ASSET,AST-000249,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,307,ASSET,AST-000261,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,308,ASSET,AST-000262,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,323,ASSET,AST-000277,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,324,ASSET,AST-000278,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,325,ASSET,AST-000279,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,326,ASSET,AST-000280,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,327,ASSET,AST-000281,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,328,ASSET,AST-000282,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,329,ASSET,AST-000283,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,330,ASSET,AST-000284,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,331,ASSET,AST-000285,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,332,ASSET,AST-000286,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,333,ASSET,AST-000287,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,334,ASSET,AST-000288,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,335,ASSET,AST-000289,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,336,ASSET,AST-000290,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,337,ASSET,AST-000291,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,338,ASSET,AST-000292,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,339,ASSET,AST-000293,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,340,ASSET,AST-000294,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,341,ASSET,AST-000295,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,342,ASSET,AST-000296,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,343,ASSET,AST-000297,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,344,ASSET,AST-000298,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,345,ASSET,AST-000299,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,398,ASSET,AST-000352,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,399,ASSET,AST-000353,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,400,ASSET,AST-000354,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,401,ASSET,AST-000355,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,402,ASSET,AST-000356,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,403,ASSET,AST-000357,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,404,ASSET,AST-000358,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,405,ASSET,AST-000359,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,406,ASSET,AST-000360,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,407,ASSET,AST-000361,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,408,ASSET,AST-000362,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,409,ASSET,AST-000363,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,410,ASSET,AST-000364,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,411,ASSET,AST-000365,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,412,ASSET,AST-000366,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,429,ASSET,AST-000383,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,430,ASSET,AST-000384,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,431,ASSET,AST-000385,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,432,ASSET,AST-000386,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,433,ASSET,AST-000387,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,434,ASSET,AST-000388,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,435,ASSET,AST-000389,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,436,ASSET,AST-000390,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,437,ASSET,AST-000391,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,438,ASSET,AST-000392,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,442,ASSET,AST-000396,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,443,ASSET,AST-000397,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,451,ASSET,AST-000405,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,474,ASSET,AST-000428,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,475,ASSET,AST-000429,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,481,ASSET,AST-000435,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,DARCO,482,ASSET,AST-000436,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
DUPLICATE_IDENTIFIER,DARCO,696,ASSET,AST-000650,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 001 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,697,ASSET,AST-000651,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 002 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,703,ASSET,AST-000657,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 003 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,704,ASSET,AST-000658,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 004 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,705,ASSET,AST-000659,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 005 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,706,ASSET,AST-000660,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 006 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,707,ASSET,AST-000661,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 007 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,709,ASSET,AST-000663,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 008 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,712,ASSET,AST-000666,SerialNumber,k24003n0163093,MIGRATION DUPLICATE - 009 - k24003n0163093,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,714,ASSET,AST-000668,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 010 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,716,ASSET,AST-000670,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 011 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,718,ASSET,AST-000672,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 012 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,DARCO,720,ASSET,AST-000674,SerialNumber,k24003n0163072,MIGRATION DUPLICATE - 013 - k24003n0163072,SerialNumber duplicated in source data; disambiguated to remain unique.
UNRESOLVED_OWNER,CAR,37,ASSET,AST-000714,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,CAR,38,ASSET,AST-000715,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,CAR,40,ASSET,AST-000717,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,CAR,42,ASSET,AST-000719,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,CAR,43,ASSET,AST-000722,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,CAR,46,ASSET,AST-000727,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
UNRESOLVED_OWNER,CAR,47,ASSET,AST-000728,EmployeeID,,PERS-00000,No resolvable owner in source; assigned to migration sentinel personnel record for later reassignment.
DUPLICATE_IDENTIFIER,R-II,19,ASSET,AST-001052,SerialNumber,0,MIGRATION DUPLICATE - 014 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,20,ASSET,AST-001053,SerialNumber,0,MIGRATION DUPLICATE - 015 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,21,ASSET,AST-001054,SerialNumber,0,MIGRATION DUPLICATE - 016 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,22,ASSET,AST-001055,SerialNumber,0,MIGRATION DUPLICATE - 017 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,23,ASSET,AST-001056,SerialNumber,0,MIGRATION DUPLICATE - 018 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,24,ASSET,AST-001057,SerialNumber,0,MIGRATION DUPLICATE - 019 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,25,ASSET,AST-001058,SerialNumber,0,MIGRATION DUPLICATE - 020 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,26,ASSET,AST-001059,SerialNumber,0,MIGRATION DUPLICATE - 021 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,27,ASSET,AST-001060,SerialNumber,0,MIGRATION DUPLICATE - 022 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,28,ASSET,AST-001061,SerialNumber,0,MIGRATION DUPLICATE - 023 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,30,SURVEYASSET,SRV-00042,SerialNumber,0,MIGRATION DUPLICATE - 001 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,31,SURVEYASSET,SRV-00043,SerialNumber,0,MIGRATION DUPLICATE - 002 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,32,SURVEYASSET,SRV-00044,SerialNumber,0,MIGRATION DUPLICATE - 003 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,33,ASSET,AST-001062,SerialNumber,0,MIGRATION DUPLICATE - 024 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,43,ASSET,AST-001073,SerialNumber,0,MIGRATION DUPLICATE - 025 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,50,ASSET,AST-001080,SerialNumber,0,MIGRATION DUPLICATE - 026 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,52,ASSET,AST-001084,SerialNumber,0,MIGRATION DUPLICATE - 027 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,53,ASSET,AST-001085,SerialNumber,0,MIGRATION DUPLICATE - 028 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,54,ASSET,AST-001087,SerialNumber,0,MIGRATION DUPLICATE - 029 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,55,ASSET,AST-001088,SerialNumber,0,MIGRATION DUPLICATE - 030 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,56,ASSET,AST-001089,SerialNumber,0,MIGRATION DUPLICATE - 031 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,58,SURVEYASSET,SRV-00045,SerialNumber,0,MIGRATION DUPLICATE - 004 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,59,SURVEYASSET,SRV-00046,SerialNumber,0,MIGRATION DUPLICATE - 005 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,60,SURVEYASSET,SRV-00047,SerialNumber,0,MIGRATION DUPLICATE - 006 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,61,ASSET,AST-001091,SerialNumber,0,MIGRATION DUPLICATE - 032 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,63,SURVEYASSET,SRV-00048,SerialNumber,0,MIGRATION DUPLICATE - 007 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,64,SURVEYASSET,SRV-00049,SerialNumber,0,MIGRATION DUPLICATE - 008 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,65,SURVEYASSET,SRV-00050,SerialNumber,0,MIGRATION DUPLICATE - 009 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,77,ASSET,AST-001106,SerialNumber,0,MIGRATION DUPLICATE - 033 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,80,ASSET,AST-001111,SerialNumber,0,MIGRATION DUPLICATE - 034 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,81,ASSET,AST-001112,SerialNumber,0,MIGRATION DUPLICATE - 035 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,82,ASSET,AST-001113,SerialNumber,0,MIGRATION DUPLICATE - 036 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,83,ASSET,AST-001114,SerialNumber,0,MIGRATION DUPLICATE - 037 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,84,ASSET,AST-001115,SerialNumber,0,MIGRATION DUPLICATE - 038 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,85,ASSET,AST-001116,SerialNumber,0,MIGRATION DUPLICATE - 039 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,86,ASSET,AST-001117,SerialNumber,0,MIGRATION DUPLICATE - 040 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,94,ASSET,AST-001125,SerialNumber,0,MIGRATION DUPLICATE - 041 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,96,ASSET,AST-001127,SerialNumber,0,MIGRATION DUPLICATE - 042 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,100,ASSET,AST-001131,SerialNumber,0,MIGRATION DUPLICATE - 043 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,103,ASSET,AST-001134,SerialNumber,0,MIGRATION DUPLICATE - 044 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,105,ASSET,AST-001136,SerialNumber,0,MIGRATION DUPLICATE - 045 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,108,ASSET,AST-001139,SerialNumber,0,MIGRATION DUPLICATE - 046 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,112,ASSET,AST-001143,SerialNumber,0,MIGRATION DUPLICATE - 047 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,116,ASSET,AST-001147,SerialNumber,0,MIGRATION DUPLICATE - 048 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,119,ASSET,AST-001150,SerialNumber,0,MIGRATION DUPLICATE - 049 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,120,ASSET,AST-001151,SerialNumber,0,MIGRATION DUPLICATE - 050 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,121,ASSET,AST-001152,SerialNumber,0,MIGRATION DUPLICATE - 051 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,123,SURVEYASSET,SRV-00051,SerialNumber,0,MIGRATION DUPLICATE - 010 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,124,SURVEYASSET,SRV-00052,SerialNumber,0,MIGRATION DUPLICATE - 011 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,125,SURVEYASSET,SRV-00053,SerialNumber,0,MIGRATION DUPLICATE - 012 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,126,SURVEYASSET,SRV-00054,SerialNumber,0,MIGRATION DUPLICATE - 013 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,127,SURVEYASSET,SRV-00055,SerialNumber,0,MIGRATION DUPLICATE - 014 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,128,ASSET,AST-001154,SerialNumber,0,MIGRATION DUPLICATE - 052 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,132,ASSET,AST-001158,SerialNumber,0,MIGRATION DUPLICATE - 053 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,133,ASSET,AST-001159,SerialNumber,0,MIGRATION DUPLICATE - 054 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,136,ASSET,AST-001162,SerialNumber,0,MIGRATION DUPLICATE - 055 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,138,ASSET,AST-001164,SerialNumber,0,MIGRATION DUPLICATE - 056 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,142,ASSET,AST-001168,SerialNumber,0,MIGRATION DUPLICATE - 057 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
DUPLICATE_IDENTIFIER,R-II,143,ASSET,AST-001169,SerialNumber,0,MIGRATION DUPLICATE - 058 - 0,SerialNumber duplicated in source data; disambiguated to remain unique.
